MaxTemp,MinTemp,MeanTemp
28.88888889,23.88888889,26.66666667
29.44444444,23.88888889,26.66666667
29.44444444,23.88888889,26.66666667
29.44444444,23.33333333,26.66666667
29.44444444,25.0,27.22222222
28.88888889,23.33333333,26.11111111
29.44444444,23.88888889,26.66666667
30.0,25.0,27.77777778
29.44444444,24.44444444,26.66666667
29.44444444,24.44444444,26.66666667
29.44444444,23.88888889,26.66666667
29.44444444,24.44444444,26.66666667
29.44444444,23.88888889,26.66666667
28.88888889,23.88888889,26.66666667
28.88888889,23.88888889,26.66666667
28.88888889,23.33333333,26.11111111
30.0,23.33333333,26.66666667
30.55555556,22.77777778,26.66666667
29.44444444,24.44444444,26.66666667
28.88888889,25.0,26.66666667
30.0,25.0,27.77777778
30.0,24.44444444,27.22222222
30.0,24.44444444,27.22222222
28.88888889,23.88888889,26.66666667
28.88888889,23.88888889,26.66666667
29.44444444,24.44444444,26.66666667
28.88888889,24.44444444,26.66666667
30.0,23.88888889,26.66666667
29.44444444,24.44444444,26.66666667
26.66666667,22.22222222,24.44444444
30.0,23.88888889,26.66666667
29.44444444,25.0,27.22222222
28.88888889,25.0,26.66666667
29.44444444,23.88888889,26.66666667
30.0,23.33333333,26.66666667
30.55555556,23.33333333,26.66666667
30.55555556,24.44444444,27.77777778
31.11111111,24.44444444,27.77777778
30.0,23.33333333,26.66666667
30.0,23.88888889,26.66666667
30.0,23.88888889,26.66666667
31.11111111,25.55555556,28.33333333
30.55555556,25.0,27.77777778
30.0,24.44444444,27.22222222
30.0,24.44444444,27.22222222
30.0,23.88888889,26.66666667
28.33333333,22.77777778,25.55555556
30.0,22.77777778,26.66666667
30.0,23.88888889,26.66666667
28.88888889,23.88888889,26.66666667
29.44444444,24.44444444,26.66666667
28.33333333,24.44444444,26.66666667
31.66666667,24.44444444,27.77777778
28.88888889,24.44444444,26.66666667
30.0,23.33333333,26.66666667
30.0,25.0,27.77777778
30.0,25.55555556,27.77777778
29.44444444,23.88888889,26.66666667
31.66666667,23.33333333,27.77777778
30.0,23.88888889,26.66666667
30.0,24.44444444,27.22222222
30.55555556,25.0,27.77777778
29.44444444,22.77777778,26.11111111
30.55555556,25.0,27.77777778
30.55555556,25.0,27.77777778
30.0,25.0,22.22222222
30.0,25.55555556,27.77777778
31.11111111,24.44444444,27.77777778
31.11111111,25.0,27.77777778
30.55555556,24.44444444,27.77777778
30.0,25.0,27.77777778
30.55555556,23.88888889,27.22222222
30.0,23.88888889,26.66666667
30.0,24.44444444,27.22222222
31.11111111,25.55555556,28.33333333
30.55555556,25.0,27.77777778
30.55555556,25.55555556,27.77777778
31.11111111,25.55555556,28.33333333
31.11111111,25.55555556,28.33333333
30.55555556,25.55555556,27.77777778
31.66666667,25.55555556,28.88888889
32.22222222,25.55555556,28.88888889
30.55555556,25.0,27.77777778
30.55555556,23.88888889,27.22222222
31.66666667,22.77777778,27.22222222
31.66666667,24.44444444,27.77777778
30.0,22.77777778,26.66666667
30.55555556,23.88888889,27.22222222
30.0,23.88888889,26.66666667
31.11111111,25.0,27.77777778
32.22222222,25.0,28.88888889
31.66666667,25.55555556,28.88888889
31.66666667,24.44444444,27.77777778
31.11111111,25.0,27.77777778
29.44444444,22.22222222,25.55555556
30.55555556,22.77777778,26.66666667
31.66666667,24.44444444,27.77777778
30.55555556,23.33333333,26.66666667
31.11111111,25.0,27.77777778
31.11111111,23.88888889,27.77777778
30.0,23.88888889,26.66666667
31.66666667,24.44444444,27.77777778
31.11111111,25.55555556,28.33333333
30.55555556,24.44444444,27.77777778
31.66666667,25.0,28.33333333
31.66666667,25.0,28.33333333
30.0,23.33333333,26.66666667
30.0,23.33333333,26.66666667
30.0,23.33333333,26.66666667
30.0,25.55555556,27.77777778
31.11111111,25.0,27.77777778
31.11111111,25.55555556,28.33333333
31.66666667,24.44444444,27.77777778
31.11111111,23.33333333,27.22222222
30.0,22.77777778,26.66666667
30.55555556,25.0,27.77777778
31.11111111,23.33333333,27.22222222
30.0,24.44444444,27.22222222
30.55555556,23.88888889,27.22222222
30.55555556,25.0,27.77777778
31.11111111,24.44444444,27.77777778
30.55555556,24.44444444,27.77777778
30.55555556,23.88888889,27.22222222
31.11111111,23.88888889,27.77777778
30.55555556,24.44444444,27.77777778
30.55555556,23.33333333,26.66666667
31.11111111,24.44444444,27.77777778
30.0,25.0,27.77777778
30.55555556,24.44444444,27.77777778
30.55555556,24.44444444,27.77777778
30.55555556,25.0,27.77777778
30.55555556,23.88888889,27.22222222
30.55555556,22.77777778,26.66666667
30.55555556,25.0,27.77777778
30.0,25.0,27.77777778
29.44444444,24.44444444,26.66666667
30.0,25.0,27.77777778
30.55555556,25.0,27.77777778
30.55555556,24.44444444,27.77777778
30.55555556,23.33333333,26.66666667
31.11111111,21.66666667,26.66666667
30.0,23.88888889,26.66666667
31.11111111,23.33333333,27.22222222
31.66666667,24.44444444,27.77777778
31.66666667,25.0,28.33333333
30.55555556,24.44444444,27.77777778
30.55555556,24.44444444,27.77777778
30.55555556,24.44444444,27.77777778
31.66666667,24.44444444,27.77777778
31.66666667,23.88888889,27.77777778
31.11111111,25.0,27.77777778
31.11111111,23.88888889,27.77777778
31.66666667,25.55555556,28.88888889
31.66666667,25.55555556,28.88888889
31.11111111,25.55555556,28.33333333
31.66666667,25.0,28.33333333
30.55555556,25.0,27.77777778
30.55555556,25.0,27.77777778
31.11111111,25.55555556,28.33333333
31.66666667,25.0,28.33333333
31.66666667,24.44444444,27.77777778
31.66666667,25.55555556,28.88888889
31.66666667,25.55555556,28.88888889
31.11111111,25.0,27.77777778
31.66666667,24.44444444,27.77777778
31.11111111,23.88888889,27.77777778
31.11111111,24.44444444,27.77777778
30.0,24.44444444,27.22222222
31.11111111,23.88888889,27.77777778
31.66666667,23.88888889,27.77777778
31.11111111,23.33333333,27.22222222
31.66666667,23.88888889,27.77777778
31.11111111,23.33333333,27.22222222
31.66666667,25.0,28.33333333
31.66666667,24.44444444,27.77777778
30.55555556,25.0,27.77777778
31.11111111,23.88888889,27.77777778
31.66666667,23.88888889,27.77777778
32.22222222,22.22222222,27.22222222
31.66666667,23.88888889,27.77777778
31.11111111,22.77777778,26.66666667
31.11111111,23.88888889,27.77777778
30.55555556,24.44444444,27.77777778
31.11111111,24.44444444,27.77777778
31.11111111,24.44444444,27.77777778
31.66666667,23.33333333,27.77777778
32.77777778,22.22222222,27.77777778
32.22222222,23.88888889,27.77777778
32.22222222,24.44444444,28.33333333
32.22222222,21.11111111,27.77777778
32.22222222,22.77777778,27.77777778
30.55555556,21.66666667,26.11111111
30.55555556,21.66666667,26.11111111
32.77777778,22.22222222,27.77777778
32.22222222,25.0,28.88888889
32.22222222,23.33333333,27.77777778
31.66666667,25.55555556,28.88888889
31.11111111,25.0,27.77777778
31.11111111,25.0,27.77777778
31.11111111,24.44444444,27.77777778
30.55555556,25.0,27.77777778
30.55555556,24.44444444,27.77777778
30.55555556,24.44444444,27.77777778
30.55555556,25.0,27.77777778
31.11111111,23.88888889,27.77777778
31.66666667,23.33333333,27.77777778
29.44444444,24.44444444,26.66666667
30.55555556,23.88888889,27.22222222
31.11111111,24.44444444,27.77777778
30.0,23.33333333,26.66666667
31.11111111,23.33333333,27.22222222
30.0,23.33333333,26.66666667
30.55555556,23.88888889,27.22222222
30.55555556,23.88888889,27.22222222
30.55555556,23.88888889,27.22222222
31.66666667,22.77777778,27.22222222
31.66666667,22.77777778,27.22222222
31.66666667,23.88888889,27.77777778
31.11111111,24.44444444,27.77777778
31.11111111,24.44444444,27.77777778
30.55555556,23.88888889,27.22222222
30.0,23.33333333,26.66666667
31.11111111,24.44444444,27.77777778
31.11111111,24.44444444,27.77777778
31.66666667,25.0,28.33333333
30.55555556,25.0,27.77777778
31.66666667,23.88888889,27.77777778
31.11111111,24.44444444,27.77777778
30.0,23.88888889,26.66666667
30.0,24.44444444,27.22222222
30.0,24.44444444,27.22222222
29.44444444,23.88888889,26.66666667
28.88888889,22.77777778,25.55555556
29.44444444,23.33333333,26.66666667
30.0,24.44444444,27.22222222
29.44444444,23.88888889,26.66666667
30.0,23.33333333,26.66666667
30.0,22.77777778,26.66666667
30.55555556,23.88888889,27.22222222
30.55555556,25.0,27.77777778
30.55555556,24.44444444,27.77777778
30.55555556,24.44444444,27.77777778
30.55555556,24.44444444,27.77777778
30.55555556,24.44444444,27.77777778
30.55555556,24.44444444,27.77777778
30.55555556,23.88888889,27.22222222
30.0,24.44444444,27.22222222
30.55555556,25.0,27.77777778
30.55555556,24.44444444,27.77777778
29.44444444,24.44444444,26.66666667
30.0,23.88888889,26.66666667
30.55555556,23.88888889,27.22222222
29.44444444,24.44444444,26.66666667
30.0,24.44444444,27.22222222
30.55555556,23.88888889,27.22222222
29.44444444,24.44444444,26.66666667
29.44444444,24.44444444,26.66666667
28.88888889,23.33333333,26.11111111
28.33333333,23.33333333,25.55555556
29.44444444,22.22222222,25.55555556
30.0,23.88888889,26.66666667
30.0,24.44444444,27.22222222
29.44444444,24.44444444,26.66666667
29.44444444,23.88888889,26.66666667
30.0,25.0,27.77777778
29.44444444,25.0,27.22222222
30.0,25.0,27.77777778
30.0,25.0,27.77777778
30.0,24.44444444,27.22222222
30.0,25.0,27.77777778
30.55555556,24.44444444,27.77777778
31.11111111,25.0,27.77777778
30.55555556,24.44444444,27.77777778
31.11111111,24.44444444,27.77777778
28.88888889,22.22222222,25.55555556
27.22222222,22.22222222,25.0
27.77777778,22.77777778,25.55555556
27.77777778,22.77777778,25.55555556
26.66666667,23.88888889,25.55555556
26.11111111,23.88888889,25.0
27.77777778,23.88888889,26.11111111
27.77777778,23.88888889,26.11111111
28.33333333,23.33333333,26.11111111
28.33333333,24.44444444,26.66666667
28.33333333,23.88888889,26.11111111
27.77777778,25.55555556,26.66666667
26.66666667,23.88888889,25.55555556
26.66666667,23.33333333,25.0
27.22222222,23.88888889,25.55555556
27.77777778,23.33333333,25.55555556
27.22222222,24.44444444,26.11111111
29.44444444,23.88888889,26.66666667
27.22222222,23.33333333,25.55555556
27.22222222,23.33333333,25.55555556
28.88888889,24.44444444,26.66666667
26.66666667,23.33333333,25.0
28.88888889,23.33333333,26.11111111
28.88888889,23.88888889,26.66666667
28.33333333,23.33333333,26.11111111
28.88888889,23.33333333,26.11111111
28.88888889,25.55555556,27.22222222
28.88888889,25.55555556,27.22222222
29.44444444,25.0,27.22222222
28.33333333,25.0,26.66666667
27.77777778,22.77777778,25.55555556
28.33333333,25.0,26.66666667
28.88888889,22.77777778,26.11111111
28.33333333,23.88888889,26.11111111
28.88888889,22.77777778,26.11111111
28.88888889,23.88888889,26.66666667
26.66666667,22.22222222,24.44444444
28.88888889,25.55555556,27.22222222
28.88888889,25.55555556,27.22222222
28.88888889,25.0,27.22222222
27.77777778,23.88888889,26.11111111
26.66666667,23.33333333,25.0
27.22222222,24.44444444,26.11111111
27.77777778,24.44444444,26.11111111
28.33333333,23.88888889,26.11111111
28.33333333,23.88888889,26.11111111
28.88888889,25.55555556,27.22222222
28.88888889,24.44444444,26.66666667
27.77777778,24.44444444,26.11111111
28.33333333,24.44444444,26.66666667
28.88888889,25.0,27.22222222
28.88888889,23.88888889,26.66666667
27.22222222,23.33333333,25.55555556
28.33333333,23.88888889,26.11111111
27.22222222,22.22222222,25.0
27.22222222,23.33333333,25.55555556
27.77777778,23.88888889,26.11111111
28.88888889,23.88888889,26.66666667
28.33333333,23.33333333,26.11111111
27.77777778,23.88888889,26.11111111
28.33333333,25.0,26.66666667
28.88888889,23.33333333,26.11111111
28.88888889,25.0,27.22222222
28.88888889,25.0,27.22222222
28.88888889,24.44444444,26.66666667
29.44444444,25.55555556,27.77777778
28.88888889,24.44444444,26.66666667
28.88888889,24.44444444,26.66666667
28.88888889,25.0,27.22222222
28.88888889,23.88888889,26.66666667
28.88888889,25.55555556,27.22222222
28.88888889,25.0,27.22222222
28.88888889,23.88888889,26.66666667
27.77777778,24.44444444,26.11111111
25.55555556,23.33333333,24.44444444
28.88888889,24.44444444,26.66666667
28.88888889,23.33333333,26.11111111
28.88888889,23.88888889,26.66666667
28.88888889,26.11111111,27.77777778
28.88888889,24.44444444,26.66666667
29.44444444,25.55555556,27.77777778
30.0,24.44444444,27.22222222
29.44444444,25.55555556,27.77777778
29.44444444,25.55555556,27.77777778
28.88888889,26.11111111,27.77777778
30.0,25.55555556,27.77777778
27.22222222,23.33333333,25.55555556
28.88888889,25.55555556,27.22222222
28.88888889,23.88888889,26.66666667
29.44444444,23.33333333,26.66666667
28.88888889,25.55555556,27.22222222
29.44444444,26.11111111,27.77777778
29.44444444,25.55555556,27.77777778
29.44444444,25.55555556,27.77777778
29.44444444,25.55555556,27.77777778
28.88888889,24.44444444,26.66666667
29.44444444,24.44444444,27.22222222
29.44444444,26.11111111,27.77777778
28.88888889,23.33333333,26.11111111
28.33333333,23.33333333,26.11111111
28.88888889,23.88888889,26.66666667
28.88888889,25.55555556,27.22222222
28.88888889,23.88888889,26.66666667
28.88888889,23.88888889,26.66666667
28.88888889,24.44444444,26.66666667
28.88888889,23.33333333,26.11111111
29.44444444,25.55555556,27.77777778
28.88888889,25.55555556,27.22222222
29.44444444,25.55555556,27.77777778
28.88888889,25.55555556,27.22222222
30.0,25.55555556,27.77777778
29.44444444,25.55555556,27.77777778
29.44444444,25.55555556,27.77777778
30.0,25.55555556,27.77777778
30.0,25.55555556,27.77777778
27.77777778,23.88888889,26.11111111
28.88888889,23.33333333,26.11111111
29.44444444,24.44444444,27.22222222
28.88888889,24.44444444,26.66666667
27.77777778,24.44444444,26.11111111
29.44444444,25.55555556,27.77777778
29.44444444,25.0,27.22222222
29.44444444,23.88888889,26.66666667
29.44444444,24.44444444,27.22222222
28.88888889,26.11111111,27.77777778
28.88888889,23.33333333,26.11111111
30.0,24.44444444,27.22222222
29.44444444,25.55555556,27.77777778
29.44444444,25.0,27.22222222
28.88888889,24.44444444,26.66666667
28.88888889,24.44444444,26.66666667
28.88888889,24.44444444,26.66666667
27.77777778,24.44444444,26.11111111
29.44444444,24.44444444,27.22222222
27.77777778,24.44444444,26.11111111
30.0,26.11111111,28.33333333
30.0,23.88888889,27.22222222
27.77777778,23.33333333,25.55555556
28.33333333,24.44444444,26.66666667
29.44444444,23.88888889,26.66666667
28.33333333,23.88888889,26.11111111
28.88888889,24.44444444,26.66666667
28.33333333,24.44444444,26.66666667
28.88888889,25.55555556,27.22222222
28.88888889,26.66666667,27.77777778
27.22222222,24.44444444,26.11111111
26.66666667,24.44444444,25.55555556
29.44444444,23.88888889,26.66666667
28.88888889,22.77777778,26.11111111
28.88888889,25.55555556,27.22222222
30.0,25.55555556,27.77777778
28.88888889,23.88888889,26.66666667
30.0,24.44444444,27.22222222
30.0,25.0,27.77777778
30.55555556,24.44444444,27.77777778
29.44444444,24.44444444,27.22222222
29.44444444,24.44444444,27.22222222
28.33333333,25.0,26.66666667
29.44444444,25.0,27.22222222
27.77777778,24.44444444,26.11111111
28.88888889,23.33333333,26.11111111
28.88888889,23.88888889,26.66666667
27.22222222,23.33333333,25.55555556
25.55555556,23.33333333,24.44444444
28.88888889,25.0,27.22222222
29.44444444,25.55555556,27.77777778
27.22222222,24.44444444,26.11111111
30.0,23.88888889,27.22222222
30.55555556,26.11111111,28.33333333
30.0,23.88888889,27.22222222
29.44444444,23.88888889,26.66666667
30.55555556,25.0,27.77777778
30.55555556,26.11111111,28.33333333
29.44444444,24.44444444,27.22222222
29.44444444,24.44444444,27.22222222
28.33333333,24.44444444,26.66666667
29.44444444,25.55555556,27.77777778
28.88888889,23.88888889,26.66666667
28.33333333,23.88888889,26.11111111
30.55555556,26.11111111,28.33333333
29.44444444,23.88888889,26.66666667
30.0,24.44444444,27.22222222
30.55555556,25.55555556,28.33333333
30.0,26.11111111,28.33333333
30.55555556,26.66666667,28.88888889
30.55555556,25.55555556,28.33333333
27.77777778,23.88888889,26.11111111
31.11111111,23.88888889,27.77777778
28.33333333,23.88888889,26.11111111
30.55555556,26.66666667,28.88888889
30.0,24.44444444,27.22222222
28.88888889,23.33333333,26.11111111
30.55555556,25.55555556,28.33333333
30.0,26.11111111,28.33333333
29.44444444,23.88888889,26.66666667
28.88888889,24.44444444,26.66666667
28.88888889,23.33333333,26.11111111
30.55555556,25.0,27.77777778
28.88888889,26.66666667,27.77777778
26.66666667,22.22222222,24.44444444
30.0,23.33333333,26.66666667
28.88888889,23.33333333,26.11111111
30.0,25.55555556,27.77777778
30.0,24.44444444,27.22222222
30.0,24.44444444,27.22222222
28.33333333,23.33333333,26.11111111
29.44444444,23.88888889,26.66666667
28.88888889,23.88888889,26.66666667
29.44444444,23.33333333,26.66666667
30.0,25.0,27.77777778
30.0,24.44444444,27.22222222
30.0,26.11111111,28.33333333
28.33333333,22.77777778,25.55555556
29.44444444,26.11111111,27.77777778
29.44444444,26.11111111,27.77777778
29.44444444,26.11111111,27.77777778
30.0,26.11111111,28.33333333
29.44444444,23.88888889,26.66666667
28.88888889,24.44444444,26.66666667
30.0,26.11111111,28.33333333
30.55555556,25.55555556,28.33333333
30.55555556,25.55555556,28.33333333
31.11111111,26.66666667,28.88888889
30.55555556,26.66666667,31.66666667
31.11111111,26.11111111,28.88888889
30.0,26.66666667,28.33333333
30.55555556,25.0,27.77777778
30.55555556,23.88888889,27.22222222
30.0,25.0,27.77777778
30.55555556,26.66666667,28.88888889
29.44444444,25.0,27.22222222
29.44444444,26.11111111,27.77777778
30.0,25.55555556,27.77777778
30.0,25.55555556,27.77777778
28.88888889,25.0,27.22222222
29.44444444,25.55555556,27.77777778
30.0,25.0,27.77777778
28.88888889,25.0,27.22222222
30.0,24.44444444,27.22222222
28.33333333,25.0,26.66666667
28.88888889,25.0,27.22222222
29.44444444,25.0,27.22222222
28.88888889,24.44444444,26.66666667
27.77777778,24.44444444,26.11111111
26.66666667,24.44444444,25.55555556
27.77777778,25.0,26.66666667
28.33333333,23.88888889,26.11111111
28.88888889,24.44444444,26.66666667
28.88888889,25.0,27.22222222
28.33333333,24.44444444,26.66666667
28.33333333,23.88888889,26.11111111
27.77777778,23.88888889,26.11111111
30.0,26.11111111,28.33333333
30.0,25.0,27.77777778
27.22222222,24.44444444,26.11111111
28.88888889,24.44444444,26.66666667
29.44444444,23.33333333,26.66666667
29.44444444,22.77777778,26.11111111
30.0,23.88888889,27.22222222
28.88888889,23.33333333,26.11111111
30.0,26.11111111,28.33333333
30.0,25.55555556,27.77777778
30.55555556,24.44444444,27.77777778
29.44444444,26.66666667,28.33333333
30.55555556,26.11111111,28.33333333
30.0,25.55555556,27.77777778
29.44444444,24.44444444,27.22222222
27.22222222,23.33333333,25.55555556
30.0,25.0,27.77777778
30.0,25.55555556,27.77777778
30.0,26.11111111,28.33333333
27.77777778,21.11111111,24.44444444
29.44444444,24.44444444,27.22222222
29.44444444,23.88888889,26.66666667
28.88888889,23.88888889,26.66666667
30.0,25.0,27.77777778
30.0,24.44444444,27.22222222
29.44444444,23.33333333,26.66666667
29.44444444,23.88888889,26.66666667
28.33333333,24.44444444,26.66666667
30.0,25.55555556,27.77777778
30.55555556,24.44444444,27.77777778
30.0,25.0,27.77777778
27.22222222,22.22222222,25.0
28.88888889,26.11111111,27.77777778
28.33333333,25.55555556,27.22222222
28.88888889,25.0,27.22222222
30.0,24.44444444,27.22222222
30.0,25.0,27.77777778
29.44444444,25.0,27.22222222
28.33333333,25.0,26.66666667
29.44444444,25.55555556,27.77777778
30.0,25.0,27.77777778
29.44444444,25.0,27.22222222
29.44444444,24.44444444,27.22222222
28.88888889,25.0,27.22222222
28.88888889,23.88888889,26.66666667
28.88888889,25.55555556,27.22222222
27.77777778,24.44444444,26.11111111
26.66666667,22.77777778,25.0
28.88888889,25.55555556,27.22222222
29.44444444,23.88888889,26.66666667
30.0,25.55555556,27.77777778
29.44444444,25.55555556,27.77777778
30.55555556,25.55555556,28.33333333
30.0,25.0,27.77777778
26.66666667,23.33333333,25.0
29.44444444,23.33333333,26.66666667
29.44444444,25.55555556,27.77777778
29.44444444,26.11111111,27.77777778
30.0,26.11111111,28.33333333
28.88888889,23.88888889,26.66666667
29.44444444,25.55555556,27.77777778
30.0,24.44444444,27.22222222
25.55555556,23.88888889,25.0
27.77777778,23.33333333,25.55555556
28.88888889,23.88888889,26.66666667
28.33333333,23.33333333,26.11111111
28.33333333,25.0,26.66666667
27.77777778,23.88888889,26.11111111
26.11111111,22.77777778,24.44444444
28.88888889,22.77777778,26.11111111
26.66666667,23.88888889,25.55555556
29.44444444,26.11111111,27.77777778
29.44444444,23.33333333,26.66666667
26.11111111,23.33333333,25.0
27.22222222,23.33333333,25.55555556
29.44444444,23.33333333,26.66666667
28.88888889,23.33333333,26.11111111
28.33333333,22.77777778,25.55555556
26.66666667,22.77777778,25.0
29.44444444,25.55555556,27.77777778
28.33333333,24.44444444,26.66666667
28.88888889,25.55555556,27.22222222
28.33333333,20.0,24.44444444
28.88888889,17.22222222,23.33333333
29.44444444,17.22222222,23.33333333
28.88888889,17.77777778,23.33333333
28.33333333,18.88888889,23.33333333
29.44444444,18.88888889,23.88888889
28.88888889,16.66666667,22.77777778
27.22222222,17.22222222,22.22222222
28.33333333,18.88888889,23.33333333
28.33333333,16.11111111,22.22222222
28.88888889,17.77777778,23.33333333
28.88888889,16.66666667,22.77777778
27.77777778,17.77777778,22.77777778
28.33333333,17.22222222,22.77777778
31.11111111,18.88888889,25.0
27.77777778,20.0,23.88888889
25.55555556,18.88888889,22.22222222
27.22222222,18.33333333,22.77777778
28.88888889,18.88888889,23.88888889
28.33333333,17.77777778,23.33333333
27.77777778,17.22222222,22.22222222
28.33333333,17.77777778,23.33333333
27.77777778,18.88888889,23.33333333
27.77777778,18.88888889,23.33333333
27.77777778,17.22222222,22.22222222
28.88888889,18.33333333,23.33333333
28.88888889,17.77777778,23.33333333
31.11111111,17.22222222,23.88888889
30.55555556,19.44444444,25.0
30.0,18.88888889,24.44444444
28.88888889,18.88888889,23.88888889
29.44444444,17.77777778,23.88888889
29.44444444,20.0,24.44444444
27.22222222,18.88888889,23.33333333
28.33333333,18.88888889,22.22222222
27.77777778,18.88888889,23.33333333
27.77777778,18.88888889,23.33333333
28.88888889,20.0,24.44444444
28.88888889,17.77777778,23.33333333
30.0,18.33333333,24.44444444
28.88888889,18.33333333,23.33333333
27.77777778,17.77777778,22.77777778
27.77777778,16.11111111,22.22222222
28.33333333,19.44444444,23.88888889
27.77777778,18.88888889,23.33333333
28.88888889,19.44444444,24.44444444
30.0,18.33333333,24.44444444
27.77777778,20.0,23.88888889
27.22222222,20.0,23.33333333
28.88888889,20.0,24.44444444
27.22222222,19.44444444,23.33333333
28.88888889,18.88888889,23.88888889
29.44444444,19.44444444,24.44444444
28.88888889,17.77777778,23.33333333
29.44444444,17.77777778,23.33333333
28.33333333,18.88888889,23.33333333
27.22222222,18.88888889,23.33333333
27.22222222,19.44444444,23.33333333
27.77777778,18.88888889,23.33333333
27.77777778,19.44444444,23.33333333
28.88888889,18.33333333,23.33333333
28.88888889,17.22222222,23.33333333
29.44444444,18.33333333,23.88888889
27.22222222,18.33333333,22.77777778
28.33333333,18.88888889,23.33333333
27.22222222,18.88888889,23.33333333
28.88888889,17.22222222,23.33333333
27.77777778,17.77777778,22.77777778
28.88888889,17.22222222,23.33333333
28.33333333,18.88888889,23.33333333
29.44444444,19.44444444,24.44444444
28.33333333,18.88888889,23.33333333
29.44444444,17.22222222,23.33333333
29.44444444,18.33333333,23.88888889
26.66666667,16.66666667,21.66666667
27.77777778,18.88888889,23.33333333
25.55555556,18.88888889,22.22222222
29.44444444,18.88888889,24.44444444
29.44444444,18.33333333,23.88888889
28.33333333,18.33333333,23.33333333
28.33333333,18.33333333,23.33333333
30.0,21.11111111,25.55555556
28.88888889,21.11111111,25.0
28.33333333,21.66666667,25.0
28.88888889,20.55555556,24.44444444
30.55555556,18.33333333,24.44444444
28.88888889,18.88888889,23.88888889
28.33333333,18.33333333,23.33333333
28.88888889,18.88888889,23.88888889
28.88888889,20.0,24.44444444
30.0,19.44444444,24.44444444
29.44444444,18.33333333,23.88888889
27.77777778,18.33333333,23.33333333
26.66666667,19.44444444,23.33333333
28.88888889,20.55555556,24.44444444
28.33333333,20.0,24.44444444
28.88888889,20.0,24.44444444
28.88888889,18.88888889,23.88888889
28.33333333,18.33333333,23.33333333
30.0,18.33333333,24.44444444
30.0,17.22222222,23.33333333
29.44444444,18.88888889,24.44444444
28.88888889,18.88888889,23.88888889
28.88888889,19.44444444,24.44444444
28.88888889,17.77777778,23.33333333
29.44444444,17.22222222,23.33333333
30.0,18.88888889,24.44444444
30.55555556,16.66666667,23.33333333
30.0,19.44444444,24.44444444
27.77777778,18.88888889,23.33333333
28.33333333,20.0,24.44444444
27.77777778,20.55555556,24.44444444
27.22222222,19.44444444,23.33333333
30.0,18.33333333,24.44444444
27.22222222,18.88888889,23.33333333
28.33333333,18.88888889,23.33333333
28.33333333,18.33333333,23.33333333
28.33333333,19.44444444,23.88888889
28.33333333,20.0,24.44444444
28.88888889,19.44444444,24.44444444
28.33333333,19.44444444,23.88888889
28.33333333,16.66666667,22.22222222
28.88888889,19.44444444,24.44444444
30.55555556,18.33333333,24.44444444
29.44444444,17.77777778,23.33333333
29.44444444,18.33333333,23.88888889
28.88888889,19.44444444,24.44444444
29.44444444,18.33333333,23.88888889
27.77777778,19.44444444,23.88888889
28.88888889,18.33333333,23.88888889
28.88888889,20.0,24.44444444
29.44444444,19.44444444,24.44444444
28.88888889,18.88888889,23.88888889
29.44444444,17.77777778,23.33333333
28.88888889,18.33333333,23.33333333
29.44444444,17.22222222,23.33333333
27.77777778,20.0,23.88888889
28.33333333,20.0,24.44444444
29.44444444,18.88888889,24.44444444
30.55555556,18.88888889,24.44444444
31.11111111,19.44444444,25.55555556
30.0,18.33333333,24.44444444
30.55555556,17.77777778,24.44444444
30.0,18.88888889,24.44444444
30.0,17.77777778,23.88888889
29.44444444,18.88888889,24.44444444
30.55555556,18.33333333,24.44444444
29.44444444,16.66666667,23.33333333
30.0,18.33333333,24.44444444
28.33333333,18.33333333,23.33333333
29.44444444,18.33333333,23.88888889
29.44444444,17.77777778,23.33333333
31.11111111,16.66666667,23.88888889
29.44444444,18.33333333,23.88888889
29.44444444,18.88888889,24.44444444
30.0,19.44444444,24.44444444
30.55555556,19.44444444,25.0
30.55555556,18.88888889,24.44444444
30.55555556,18.33333333,24.44444444
30.0,17.77777778,23.88888889
30.0,17.77777778,23.88888889
28.88888889,20.55555556,24.44444444
28.33333333,20.55555556,24.44444444
28.88888889,20.55555556,24.44444444
27.77777778,18.33333333,23.33333333
28.33333333,18.88888889,23.33333333
28.33333333,18.33333333,23.33333333
28.88888889,18.88888889,23.88888889
28.33333333,17.77777778,23.33333333
28.88888889,18.88888889,23.88888889
28.88888889,20.55555556,24.44444444
28.88888889,18.33333333,23.33333333
28.88888889,20.0,24.44444444
28.88888889,18.88888889,23.88888889
28.33333333,19.44444444,23.88888889
29.44444444,18.33333333,23.88888889
28.88888889,18.88888889,23.88888889
28.33333333,19.44444444,23.88888889
27.77777778,19.44444444,23.33333333
30.0,17.77777778,23.88888889
28.88888889,18.88888889,23.88888889
29.44444444,18.33333333,23.88888889
27.22222222,19.44444444,23.33333333
29.44444444,19.44444444,24.44444444
29.44444444,19.44444444,24.44444444
28.33333333,18.88888889,23.33333333
28.88888889,18.88888889,23.88888889
28.88888889,18.88888889,23.88888889
27.77777778,18.33333333,23.33333333
27.22222222,17.77777778,22.22222222
29.44444444,18.88888889,24.44444444
27.22222222,18.88888889,23.33333333
28.88888889,17.77777778,23.33333333
27.22222222,16.66666667,22.22222222
28.33333333,15.55555556,22.22222222
28.88888889,17.22222222,23.33333333
28.33333333,17.22222222,22.77777778
